ID,Block_Name,Occupied,Room,Latitude,Longitude,O_ID,Capacity,Occupancy,TimeStamp
12,RAC,50,Floor 2,39.252868,-76.712567,60,239,50,01-08-2022 06:50
12,RAC,50,Floor 2,39.252868,-76.712567,61,239,51,01-08-2022 07:00
12,RAC,50,Floor 2,39.252868,-76.712567,62,239,55,01-08-2022 07:10
12,RAC,50,Floor 2,39.252868,-76.712567,63,239,66,01-08-2022 07:20
12,RAC,50,Floor 2,39.252868,-76.712567,64,239,70,01-08-2022 07:30
12,RAC,50,Floor 2,39.252868,-76.712567,65,239,71,01-08-2022 08:20
12,RAC,50,Floor 2,39.252868,-76.712567,66,239,60,01-08-2022 08:30
12,RAC,50,Floor 2,39.252868,-76.712567,67,239,66,01-08-2022 08:40
12,RAC,50,Floor 2,39.252868,-76.712567,68,239,90,01-08-2022 08:50
12,RAC,50,Floor 2,39.252868,-76.712567,69,239,90,01-08-2022 09:20
12,RAC,50,Floor 2,39.252868,-76.712567,70,239,85,01-08-2022 09:30
12,RAC,50,Floor 2,39.252868,-76.712567,71,239,46,01-08-2022 09:40
12,RAC,50,Floor 2,39.252868,-76.712567,72,239,46,01-08-2022 09:50
12,RAC,50,Floor 2,39.252868,-76.712567,73,239,46,01-08-2022 10:20
12,RAC,50,Floor 2,39.252868,-76.712567,74,239,50,01-08-2022 10:30
12,RAC,50,Floor 2,39.252868,-76.712567,75,239,51,01-08-2022 10:20
12,RAC,50,Floor 2,39.252868,-76.712567,76,239,50,01-08-2022 10:30
12,RAC,50,Floor 2,39.252868,-76.712567,77,239,40,01-08-2022 10:40
12,RAC,50,Floor 2,39.252868,-76.712567,78,239,25,01-08-2022 11:20
6,Library,30,211,39.256449,76.711709,79,60,0,01-08-2022 00:00
6,Library,30,211,39.256449,76.711709,80,60,0,01-08-2022 01:00
6,Library,30,211,39.256449,76.711709,81,60,0,01-08-2022 02:00
6,Library,30,211,39.256449,76.711709,82,60,0,01-08-2022 03:00
6,Library,30,211,39.256449,76.711709,83,60,0,01-08-2022 04:00
6,Library,30,211,39.256449,76.711709,84,60,0,01-08-2022 05:00
6,Library,30,211,39.256449,76.711709,85,60,0,01-08-2022 06:00
6,Library,30,211,39.256449,76.711709,86,60,0,01-08-2022 07:00
6,Library,30,211,39.256449,76.711709,87,60,3,01-08-2022 07:10
6,Library,30,211,39.256449,76.711709,88,60,2,01-08-2022 07:27
6,Library,30,211,39.256449,76.711709,89,60,0,01-08-2022 07:31
6,Library,30,211,39.256449,76.711709,90,60,0,01-08-2022 07:49
6,Library,30,211,39.256449,76.711709,91,60,6,01-08-2022 07:50
6,Library,30,211,39.256449,76.711709,92,60,6,01-08-2022 07:55
6,Library,30,211,39.256449,76.711709,93,60,7,01-08-2022 08:10
6,Library,30,211,39.256449,76.711709,94,60,7,01-08-2022 08:28
6,Library,30,211,39.256449,76.711709,95,60,5,01-08-2022 08:30
6,Library,30,211,39.256449,76.711709,96,60,20,01-08-2022 08:45
6,Library,30,211,39.256449,76.711709,97,60,25,01-08-2022 09:00
6,Library,30,211,39.256449,76.711709,98,60,25,01-08-2022 09:10
6,Library,30,211,39.256449,76.711709,99,60,25,01-08-2022 07:09
6,Library,30,211,39.256449,76.711709,100,60,26,01-08-2022 09:20
6,Library,30,211,39.256449,76.711709,101,60,46,01-08-2022 09:40
6,Library,30,211,39.256449,76.711709,102,60,71,01-08-2022 09:45
6,Library,30,211,39.256449,76.711709,103,60,60,01-08-2022 10:30
6,Library,30,211,39.256449,76.711709,104,60,56,01-08-2022 10:40
6,Library,30,211,39.256449,76.711709,105,60,56,01-08-2022 10:55
6,Library,30,211,39.256449,76.711709,106,60,57,01-08-2022 10:57
6,Library,30,211,39.256449,76.711709,107,60,38,01-08-2022 11:30
6,Library,30,211,39.256449,76.711709,108,60,16,01-08-2022 12:10
6,Library,30,211,39.256449,76.711709,109,60,16,01-08-2022 12:20
6,Library,30,211,39.256449,76.711709,110,60,20,01-08-2022 12:25
6,Library,30,211,39.256449,76.711709,111,60,27,01-08-2022 12:30
6,Library,30,211,39.256449,76.711709,112,60,30,01-08-2022 13:20
6,Library,30,211,39.256449,76.711709,113,60,35,01-08-2022 13:30
6,Library,30,211,39.256449,76.711709,114,60,35,01-08-2022 13:40
6,Library,30,211,39.256449,76.711709,115,60,25,01-08-2022 14:20
